Unnamed: 0.1,flow[m3/s],lift[m],rotate speed[r/min],NPSHC[m],shaft diameter[mm],impeller inter diameter[mm],impeller outlet diameter[mm],outlet width[mm],outlet angle[°],d0k0,d2k2d2,b2k2b2,overall efficiency[%]
105,0.009,30,2900,2.3,0,52,157,10,,776.7768227,2345.268484,149.3801582,76.42
106,0.0094,50,2900,2.4,0,70,209,9,,1221.927457,3648.326264,157.1049587,
107,0.0094,14,1450,1.5,0,80,209,13,,913.6013115,2386.783426,148.4602131,
108,0.0094,21,1450,1.1,0,94,259,11,,1228.829609,3385.817753,143.7992096,
109,0.0097,20,1475,0.7,0,93,259,12,,1183.683796,3296.495733,152.733393,
110,0.01,85,2900,6,0,84,259,9,,1714.295143,5285.743357,183.6744796,
111,0.0103,46.08,2900,6,0,54,194,7,,889.7858774,3196.638152,115.3426137,73.53
112,0.0117,36,1450,1.8,0,100,324,12,,1454.472607,4712.491247,174.5367128,
113,0.0117,115,2950,1.25,0,87,324,9,,1863.616637,6940.365406,192.787928,
114,0.012,18.45,2890,2.6,0,73,132,12,,842.5478375,1523.511158,138.5010144,85
115,0.0122,28,1475,0.5,0,102,324,11,,1345.445897,4273.76932,145.0971065,
116,0.0127,46.41,2900,0.5,0,56,200,10,,862.5626382,3080.580851,154.0290425,75.81
117,0.0127,29.3,2900,2,0,76,164,10.4,,1004.233933,2167.031119,137.4214856,82.9
118,0.0128,33.31,2900,2,0,71,168,10,,976.5921666,2310.809634,137.5481925,79.3
119,0.0128,140,2900,4,0,40,324,10,,887.9040017,7192.022414,221.9760004,
120,0.0131,8,1475,1.4,0,100,169,21,,848.4108823,1433.814391,178.1662853,
121,0.0139,80.96,2900,1.88,0,80,252,6.5,39,1439.379192,4534.044454,116.9495593,68.96
122,0.0139,32.94,2900,2.39,23,76,168,13,29,1058.63312,2239.815332,173.3190436,75.49
123,0.0139,20.54,2900,2.59,0,76,137,14,30,865.6496118,1560.447327,159.4617706,79.05
124,0.0139,32,2900,2.5,0,65,165,7,,858.2722731,2178.691155,92.42932172,65
125,0.0139,50,2900,2.5,0,75,204,10,,1149.157788,3125.709184,153.2210384,69
126,0.0139,80,2900,2.5,0,75,254,10,,1344.063103,4551.893708,179.2084137,63
127,0.0139,125,2900,2.5,0,80,315,7.5,,1663.623544,6550.517704,155.9647072,54
128,0.0139,20,2900,3,0,76,138,14,,857.9961204,1557.940324,158.0519169,75
129,0.0139,32,2900,2.5,0,76,168,14,,1003.51835,2218.303721,184.8586434,73
130,0.0139,30,2900,2.5,0,76,168,14,,982.160379,2171.091364,180.9242803,36
131,0.0139,12.5,1450,2,0,90,203,16,,868.7088522,1959.421078,154.4371293,73
132,0.0139,32,1450,2,0,100,315.5,12.5,,1320.418882,4165.921572,165.0523602,63
133,0.0139,8,1450,2.5,0,90,110,18,,748.6305947,914.9929491,149.7261189,75
134,0.0139,20,2900,2.3,0,76,137,19,,857.9961204,1546.650901,214.4990301,
135,0.0139,32,2900,2.3,0,70,167,12,,924.2932172,2205.099532,158.4502658,
136,0.0139,50,2900,2.3,0,70,195,10,,1072.547269,2987.810249,153.2210384,
137,0.0139,80,2900,2.3,0,80,255,9,,1433.66731,4569.814549,161.2875723,
138,0.0139,80,2900,2.3,0,80,255,9,,1433.66731,4569.814549,161.2875723,
139,0.0139,8,1450,1.5,0,110,169,21,,914.9929491,1405.761894,174.6804721,
140,0.0139,13,1450,1,0,110,209,17,,1075.72733,2043.881927,166.2487692,
141,0.0139,50,2900,2.3,0,80,204,9,,1225.768307,3125.709184,137.8989346,
142,0.0139,80,2900,2.3,0,80,252,7.5,,1433.66731,4516.052025,134.4063103,
